"/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative/div.image-inner.position-relative.overflow-hidden/a.d-block href","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative/div.image-inner.position-relative.overflow-hidden/a.d-block/image-srcset.res-image/img.lazyShow.res-img-loaded src","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative/div.image-inner.position-relative.overflow-hidden/a.d-block/image-srcset.res-image/img.hongo-alternate-image.lazyShow.res-img-loaded src","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/a.product-title.alt-font","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/a.product-title.alt-font href","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/div.price-box.justify-content-center.alt-font/div.price-wrapper/div.price__pix/span.price-item.price-item--regular","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/div.price-box.justify-content-center.alt-font/div.price-wrapper/div.price__pix/small.pix-label"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1kwp-4-painel-era-250w-flexivel-inversor-growatt-3kw-110v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_MOTOR_HOME_SPF_ES_PAINEL_ERA_FLEXIVEL_250W_V2.png?v=1756920657&width=535","https://www.meugerador.com.br/cdn/shop/files/PAINEL_SOLAR_FLEXIVEL_250W_ERA_SOLAR_1000x1000_2.jpg?v=1756920673&width=535","Kit Energia Solar Offgrid MotorHome 1kWp até 135kWh Mês Aprox. 4 Painel Era 250W Flexível Inversor Growatt 3kW 110V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1kwp-4-painel-era-250w-flexivel-inversor-growatt-3kw-110v","R$ 7.147,35","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-2-48kwp-4-painel-sunova-620w-inversor-growatt-5kw-220v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_PAINEL_SUNOVA_620W_PRETO_COMPOSITO.png?v=1759522825&width=535","https://www.meugerador.com.br/cdn/shop/files/678814a3ee4ba07519ef79ddec79d48c_dfedc8ae-678f-4147-8761-5235d835a73f.png?v=1759490813&width=535","Kit Energia Solar Offgrid 2,48kWp 4 Painel Sunova 620W Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-2-48kwp-4-painel-sunova-620w-inversor-growatt-5kw-220v","R$ 7.176,64","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-2-48kwp-4-painel-sunova-620w-inversor-growatt-3kw-110v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_PAINEL_SUNOVA_620W_PRETO_COMPOSITO.png?v=1759522825&width=535","https://www.meugerador.com.br/cdn/shop/files/678814a3ee4ba07519ef79ddec79d48c.png?v=1759501206&width=535","Kit Energia Solar Offgrid 2,48kWp 4 Painel Sunova 620W Inversor Growatt 3kW 110V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-2-48kwp-4-painel-sunova-620w-inversor-growatt-3kw-110v","R$ 7.225,83","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Offgrid MotorHome 1,25kWp até 170kWh Mês Aprox. 5 Painel Era 250W Flexível Inversor Growatt 5kW 22V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1-25kwp-ate-170kwh-mes-aprox-5-painel-era-250w-flexivel-inversor-growatt-5kw-22v","R$ 7.412,81","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1-25kwp-5-painel-era-250w-flexivel-inversor-growatt-3kw-110v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_MOTOR_HOME_SPF_ES_PAINEL_ERA_FLEXIVEL_250W_V2.png?v=1756920657&width=535","https://www.meugerador.com.br/cdn/shop/files/PAINEL_SOLAR_FLEXIVEL_250W_ERA_SOLAR_1000x1000_BARRACA.jpg?v=1756842827&width=535","Kit Energia Solar Offgrid MotorHome 1,25kWp até 170kWh Mês Aprox. 5 Painel Era 250W Flexível Inversor Growatt 3kW 110V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1-25kwp-5-painel-era-250w-flexivel-inversor-growatt-3kw-110v","R$ 7.462,00","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-3-10kwp-5-painel-sunova-620w-inversor-growatt-5kw-220v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_PAINEL_SUNOVA_620W_PRETO_COMPOSITO.png?v=1759522825&width=535","https://www.meugerador.com.br/cdn/shop/files/678814a3ee4ba07519ef79ddec79d48c_ce44be8d-2ada-48e2-85f9-6c263554293c.png?v=1759503544&width=535","Kit Energia Solar Offgrid 3,10kWp 5 Painel Sunova 620W Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-3-10kwp-5-painel-sunova-620w-inversor-growatt-5kw-220v","R$ 7.759,08","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1-5kwp-ate-200kwh-mes-aprox-6-painel-era-250w-flexivel-inversor-growatt-5kw-220v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_MOTOR_HOME_SPF_ES_PAINEL_ERA_FLEXIVEL_250W_V2.png?v=1756920657&width=535","https://www.meugerador.com.br/cdn/shop/files/PAINEL_SOLAR_FLEXIVEL_250W_ERA_SOLAR_1000x1000_TRAILLER.jpg?v=1756920661&width=535","Kit Energia Solar Offgrid MotorHome 1,5kWp até 200kWh Mês Aprox. 6 Painel Era 250W Flexível Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-motorhome-1-5kwp-ate-200kwh-mes-aprox-6-painel-era-250w-flexivel-inversor-growatt-5kw-220v","R$ 7.926,00","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-3-72kwp-6-painel-sunova-620w-inversor-growatt-5kw-220v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_PAINEL_SUNOVA_620W_PRETO_COMPOSITO.png?v=1759522825&width=535","https://www.meugerador.com.br/cdn/shop/files/678814a3ee4ba07519ef79ddec79d48c_1c73ad5a-1340-41d3-9666-fd3021c97e24.png?v=1759516285&width=535","Kit Energia Solar Offgrid 3,72kWp 6 Painel Sunova 620W Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-3-72kwp-6-painel-sunova-620w-inversor-growatt-5kw-220v","R$ 8.341,53","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/gerador-de-energia-solar-1-75kwp-era-250w-flexivel-growatt-5kw-220v-site","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_MOTOR_HOME_SPF_ES_PAINEL_ERA_FLEXIVEL_250W_V2.png?v=1756920657&width=535","https://www.meugerador.com.br/cdn/shop/files/PAINEL_SOLAR_FLEXIVEL_250W_ERA_SOLAR_1000x1000_TRAILLER.jpg?v=1756920661&width=535","Kit Energia Solar Offgrid MotorHome 1,75kWp até 230kWh Mês Aprox. 7 Painel Era 250W Flexível Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/gerador-de-energia-solar-1-75kwp-era-250w-flexivel-growatt-5kw-220v-site","R$ 8.439,18","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-4-34kwp-7-painel-sunova-620w-inversor-growatt-5kw-220v","https://www.meugerador.com.br/cdn/shop/files/KIT_ENERGIA_SOLAR_OFFGRID_GROWATT_PAINEL_SUNOVA_620W_PRETO_COMPOSITO.png?v=1759522825&width=535","https://www.meugerador.com.br/cdn/shop/files/678814a3ee4ba07519ef79ddec79d48c_9e379c61-aa09-480f-b0ed-96c4c33f5279.png?v=1759519092&width=535","Kit Energia Solar Offgrid 4,34kWp 7 Painel Sunova 620W Inversor Growatt 5kW 220V","https://www.meugerador.com.br/collections/kit-solar-offgrid/products/kit-energia-solar-offgrid-4-34kwp-7-painel-sunova-620w-inversor-growatt-5kw-220v","R$ 8.923,96","À vista no PIX com 15% OFF"
