sku,image_index,filename,category,manufacturer,cdn_url,size_bytes,format
"IMAGE",0,"image.png","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/image.png",297640,"png"
"IMAGEPRODUCT450083",0,"IMAGE_PRODUCT_450083.png","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450083.png",80478,"png"
"IMAGEPRODUCT450094",0,"IMAGE_PRODUCT_450094.png","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450094.png",215063,"png"
"IMAGEPRODUCT450114",0,"IMAGE_PRODUCT_450114.png","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450114.png",74909,"png"
"IMAGEPRODUCT450118",0,"IMAGE_PRODUCT_450118.jpg","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450118.jpg",247989,"jpg"
"IMAGEPRODUCT450123",0,"IMAGE_PRODUCT_450123.png","acessorios","unknown","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450123.png",172814,"png"
"IMAGEPRODUCT000607",0,"IMAGE_PRODUCT_000607.jpg","baterias","unknown","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000607.jpg",34166,"jpg"
"IMAGEPRODUCT000612",0,"IMAGE_PRODUCT_000612.jpg","baterias","unknown","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000612.jpg",51309,"jpg"
"IMAGEPRODUCT850004",0,"IMAGE_PRODUCT_850004.png","baterias","unknown","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_850004.png",25097,"png"
"PAINELBYDBYD530WMLK36530W",0,"PAINEL-BYD-BYD-530W-MLK-36---530W.png","BYD","BYD","https://cdn.yellosolarhub.com/products/BYD/PAINEL-BYD-BYD-530W-MLK-36---530W.png",457086,"png"
"IMAGE",1,"image.png","cabos","unknown","https://cdn.yellosolarhub.com/products/cabos/image.png",281715,"png"
"IMAGE",2,"image.webp","cabos","unknown","https://cdn.yellosolarhub.com/products/cabos/image.webp",32672,"webp"
"IMAGEPRODUCT052113",0,"IMAGE_PRODUCT_052113.png","cabos","unknown","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052113.png",78860,"png"
